"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"EC089","Italy","Etichette AIC","AIC ossigeno","Etichette per pacchi di ossigeno da 12 bombole","Etichette per pacchi O2 da 12 bombole",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC090","Italy","Etichette AIC","AIC ossigeno","Etichette per pacchi di ossigeno da 16 bombole","Etichette per pacchi O2 da 16 bombole",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC091","Italy","Etichette AIC","AIC ossigeno","Etichette per pacchi di ossigeno da 20 bombole","Etichette per pacchi O2 da 20 bombole",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC092","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 10 litri","Etichette per unità base da 10 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC093","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 20 litri","Etichette per unità base da 20 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC094","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 28 litri","Etichette per unità base da 28 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC095","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 30 litri","Etichette per unità base da 30 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC096","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 37 litri","Etichette per unità base da 37 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC097","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 40 litri","Etichette per unità base da 40 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC098","Italy","Etichette AIC","AIC ossigeno","Etichette per unità base da 45 litri","Etichette per unità base da 45 litri",50,"7.50","Etichette-per-unita-base.jpg",FALSO,FALSO,"SMR","N011",,
"EC099","Italy","Etichette AIC","AIC ossigeno","Etichette per serbatoi di ossigeno da 1'000 litri","Etichette per serbatoi O2 da 1'000 litri",50,"140.00","Etichette-per-serbatoi-di-ossigeno.jpg",FALSO,FALSO,"SMR","N011",,
"EC100","Italy","Etichette AIC","AIC ossigeno","Etichette per serbatoi di ossigeno da 1'500 litri","Etichette per serbatoi O2 da 1'500 litri",50,"140.00","Etichette-per-serbatoi-di-ossigeno.jpg",FALSO,FALSO,"SMR","N011",,
