"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27943,"ADR0098","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M12A","Bundle",25,"ADR_Bundle_Enermix-M12A_small.jpg||ADR_Bundle_Enermix-M12A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27944,"ADR0099","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M14A","Bundle",25,"ADR_Bundle_Enermix-M14A_small.jpg||ADR_Bundle_Enermix-M14A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27945,"ADR0100","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M21A","Bundle",25,"ADR_Bundle_Enermix-M21A_small.jpg||ADR_Bundle_Enermix-M21A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27946,"ADR0101","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix M21B","Bundle",25,"ADR_Bundle_Enermix-M24B_small.jpg||ADR_Bundle_Enermix-M24B_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27947,"ADR0102","Italy","Etichette ADR","Monogas","Monogas","Acetilene","Acetilene disciolto","Bundle",25,"ADR_Bundle_Acetilene-disciolto_small.jpg||ADR_Bundle_Acetilene-disciolto_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27948,"ADR0103","Italy","Etichette ADR","Monogas","Monogas","Idrogeno","Idrogeno compresso","Bundle",25,"ADR_Bundle_Idrogeno-compresso_small.jpg||ADR_Bundle_Idrogeno-compresso_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27949,"ADR0104","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H5","Bundle",25,"ADR_Bundle_Enermix-H5_small.jpg||ADR_Bundle_Enermix-H5_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27950,"ADR0105","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H7","Bundle",25,"ADR_Bundle_Enermix-H7_small.jpg||ADR_Bundle_Enermix-H7_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27951,"ADR0106","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix H35","Bundle",25,"ADR_Bundle_Enermix-H35_small.jpg||ADR_Bundle_Enermix-H35_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
27952,"ADR0107","Italy","Etichette ADR","Miscele","Enermix infiammabili","Enermix","Enermix NH5","Bundle",25,"ADR_Bundle_Enermix-NH5_small.jpg||ADR_Bundle_Enermix-NH5_large.jpg||ADR_Bundle_Enermix-rossa-photo_large.jpg","7.50"
