"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27935,"ADR0090","Italy","Etichette ADR","Miscele","Bundle","Enermix C5","Enermix C5",25,"ADR_Bundle_Enermix-C5_small.jpg||ADR_Bundle_Enermix-C5_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27936,"ADR0091","Italy","Etichette ADR","Miscele","Bundle","Enermix C10","Enermix C10",25,"ADR_Bundle_Enermix-C10_small.jpg||ADR_Bundle_Enermix-C10_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27937,"ADR0092","Italy","Etichette ADR","Miscele","Bundle","Enermix C15","Enermix C15",25,"ADR_Bundle_Enermix-C15_small.jpg||ADR_Bundle_Enermix-C15_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27938,"ADR0093","Italy","Etichette ADR","Miscele","Bundle","Enermix C18","Enermix C18",25,"ADR_Bundle_Enermix-C18_small.jpg||ADR_Bundle_Enermix-C18_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27939,"ADR0094","Italy","Etichette ADR","Miscele","Bundle","Enermix C20","Enermix C20",25,"ADR_Bundle_Enermix-C20_small.jpg||ADR_Bundle_Enermix-C20_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27940,"ADR0095","Italy","Etichette ADR","Miscele","Bundle","Enermix OX3","Enermix OX3",25,"ADR_Bundle_Enermix-OX3_small.jpg||ADR_Bundle_Enermix-OX3_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27941,"ADR0096","Italy","Etichette ADR","Miscele","Bundle","Enermix 3A","Enermix 3A",25,"ADR_Bundle_Enermix-3A_small.jpg||ADR_Bundle_Enermix-3A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27942,"ADR0097","Italy","Etichette ADR","Miscele","Bundle","Enermix 3D","Enermix 3D",25,"ADR_Bundle_Enermix-3D_small.jpg||ADR_Bundle_Enermix-3D_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27943,"ADR0098","Italy","Etichette ADR","Miscele","Bundle","Enermix M12A","Enermix M12A",25,"ADR_Bundle_Enermix-M12A_small.jpg||ADR_Bundle_Enermix-M12A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27944,"ADR0099","Italy","Etichette ADR","Miscele","Bundle","Enermix M14A","Enermix M14A",25,"ADR_Bundle_Enermix-M14A_small.jpg||ADR_Bundle_Enermix-M14A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
