"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU139","Italy","Toner e cartucce","Toner compatibili","Toner HP 8061X compatibile","Toner HP 8061X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU140","Italy","Toner e cartucce","Toner compatibili","Toner Hp CB436A Compatibile","Toner Hp CB436A Compatibile",1,"41.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU141","Italy","Toner e cartucce","Toner compatibili","Toner HP 505X","Toner HP 505X",1,"86.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU142","Italy","Toner e cartucce","HP","Toner HP C4127X","Toner HP C4127X",1,"89.59",FALSO,FALSO,"SMR",2,FALSO,VERO
"MU143","Italy","Toner e cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU144","Italy","Toner e cartucce","HP","Cartuccia Hp N.363 giallo (C8773EE)","Cartuccia Hp N.363 giallo (C8773EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU145","Italy","Toner e cartucce","HP","Cartuccia Hp N.363 ciano chiaro (C8774EE)","Cartuccia Hp N.363 ciano chiaro (C8774EE)",1,"7.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU146","Italy","Toner e cartucce","HP","Cartuccia Hp N.363 Nero (C8721EE)","Cartuccia Hp N.363 Nero (C8721EE)",1,"11.12",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU147","Italy","Toner e cartucce","HP","Toner HP Q7553X","Toner HP Q7553X",1,"104.99",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU148","Italy","Toner e cartucce","HP","Toner HP Q6470A","Toner HP Q6470A",1,"93.71",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU149","Italy","Toner e cartucce","HP","Toner HP Q6471A","Toner HP Q6471A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU150","Italy","Toner e cartucce","HP","Toner HP Q6472A","Toner HP Q6472A",1,"93.60",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU151","Italy","Toner e cartucce","HP","Toner HP Q6473A","Toner HP Q6473A",1,"88.17",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU152","Italy","Toner e cartucce","HP","Cartuccia HP 339","Cartuccia HP 339",2,"35.71",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU153","Italy","Toner e cartucce","HP","Cartuccia HP 344","Cartuccia HP 344",2,"38.39",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU154","Italy","Toner e cartucce","HP","Cartuccia HP 56","Cartuccia HP 56",2,"25.94",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU155","Italy","Toner e cartucce","HP","Cartuccia HP 57","Cartuccia HP 57",2,"39.39",FALSO,VERO,"SMR","N012",FALSO,VERO
