"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP068","Italy","Carta, buste","Post-it","Notes 100 fg. 38 X 51 giallo","Notes 100 fg. 38 X 51 giallo (confezione da 12 pezzi)",12,"0.96","Notes-100-fg.-38-X-51-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP069","Italy","Carta, buste","Carta intestata","Carta intestata CTS fogli successivi","Carta intestata CTS fogli successivi",500,"25.00","risma_carta-seguito-CTS.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP069","Italy","Carta, buste","Post-it","Notes 100 fg. 76 X 127 giallo","Notes 100 fg. 76 X 127 giallo",12,"2.68","Notes-100-fg.-76-X-127-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP070","Italy","Carta, buste","Carta intestata","Carta intestata CTS primo foglio","Carta intestata CTS primo foglio",500,"25.00","risma_carta-intestata-CTS.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP070","Italy","Carta, buste","Post-it","Notes 100 fg. 76X76 giallo","Notes 100 fg. 76X76 giallo (confezione da 12 pezzi)",12,"2.61","Notes-100-fg.-76X76-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP071","Italy","Carta, buste","Carta stampanti, fax","A4 paper ream","Risma di carta A4 da 500 fogli",5,"11.50","Risma-di-carta-A4.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP071","Italy","Carta, buste","Post-it","Post-it cubo 450 fogli giallo","Post-it cubo 450 fogli giallo",1,"0.97","Post-it-cubo-450-fogli-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP072","Italy","Carta, buste","Carta stampanti, fax","A3 paper ream","Risma di carta A3 da 500 fogli",5,"24.30","Risma-di-carta-A3.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP073","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A4 riciclata","Risma di carta A4 riciclata da 500 fogli",5,"14.87","Risma-di-carta-A4_riciclata.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP073","Italy","Carta, buste","Post-it","Notes 100 fg. 102 X 76 giallo","Notes 100 fg. 102 X 76 giallo",12,"2.31","Notes-100-fg.-102-X-76-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP074","Italy","Carta, buste","Carta stampanti, fax","Risma di carta A4 bianca 160 gr da 250 fogli","Risma di carta A4 bianca 160 gr da 250 fogli",1,"7.33","Risma-di-carta-A4.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP074","Italy","Carta, buste","Post-it","Post-it index 684 mini freccia","Post-it index 684 mini freccia",1,"3.81","Post-it-index-684-mini-freccia.jpg",,FALSO,FALSO,"SMR","N010",,
