"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
13855,"EC126","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Oxargo","Etich. ADR Oxargo",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13856,"EC127","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Zincomix","Etich. ADR Zincomix",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13857,"EC128","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex DI36","Etich. ADR Meforex DI36",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13858,"EC129","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex DI44","Etich. ADR Meforex DI44",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13879,"EC150","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per anidride carbonica medical device per laparoscopia","Etich. ADR CO2 MD",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13880,"EC151","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per azoto liquido medical device","Etich. ADR N2 liquido MD",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13881,"EC152","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per protossido di azoto medical device","Etich. ADR N2O MD",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13882,"EC153","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per anidride carbonica medical device per criogenia in fase gas","Etich. ADR CO2 MD Cryo gas",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13883,"EC154","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per anidride carbonica medical device per criogenia in fase liquida","Etich. ADR CO2 MD Cryo gas",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13884,"EC155","Italy","Etichette ADR bombole","ADR bombole monogas","Etichette ADR per argon medical device","Etichette ADR per argon medical device",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13885,"EC156","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Argon compresso"" ed. 2010","Etichetta ADR ""Argon compresso"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13886,"EC157","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Argon compresso E948"" ed. 2010","Etichetta ADR ""Argon compresso E948"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13887,"EC158","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Azoto compresso"" ed. 2010","Etichetta ADR ""Azoto compresso"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13888,"EC159","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Azoto compresso E941"" ed. 2010","Etichetta ADR ""Azoto compresso E941"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13889,"EC160","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Diossido di carbonio"" ed. 2010","Etichetta ADR ""Diossido di carbonio"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
13890,"EC161","Italy","Etichette ADR bombole","ADR bombole monogas","Etichetta ADR ""Diossido di carbonio E290"" ed. 2010","Etichetta ADR ""Diossido di carbonio E290"" ed. 2010",100,"5.00",,FALSO,FALSO,"SMR","N011",,
