"Errors";"Object";"ID";"Country";"Vessel";"Vessel Material";"Capacity";"Diameter";"Pressure";"Markets";"GAS";"Body Color";"Shoulder color";"Cap Type";"Material";"PaintingType";"Valve Type";"Valve Material";"Thread gas outelet";"Norm";"Outlet Gas";"Deep tube";"Deep Tube Material";"Stamping";"Description Certificate";"Description";"Solvent";"Price";"Image"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2010";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Standard mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"52.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2011";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"55.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2012";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Residual mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"55.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2013";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"54.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2014";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Standard mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"54.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2015";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"57.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2016";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Residual mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"57.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2017";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"52.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2018";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Standard mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"52.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2019";"ITALY";"Cylinder";"Steel";"1";"111";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"55.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
