"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12038,"MU103","Italy","Toner, cartucce","EPSON","Toner Epson Laser M1200 (S050522)","Toner Epson Laser M1200 (S050522)",1,"53.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12039,"MU107","Italy","Toner, cartucce","Lexmark","Nastro serie 23xx/24xx 11A3540","Nastro serie 23xx/24xx 11A3540",6,"44.52",FALSO,FALSO,"SMR","N012",FALSO,VERO
12040,"MU108","Italy","Toner, cartucce","Lexmark","Toner Lexmark 64016HE","Toner Lexmark 64016HE",1,"240.05",FALSO,FALSO,"SMR","N012",FALSO,VERO
12041,"MU109","Italy","Toner, cartucce","Lexmark","Cartuccia N.17 nero","Cartuccia N.17 nero",1,"14.24",FALSO,FALSO,"SMR","N012",FALSO,VERO
12042,"MU110","Italy","Toner, cartucce","Lexmark","Cartuccia N.26 color","Cartuccia N.26 color",1,"24.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12043,"MU111","Italy","Toner, cartucce","Minolta","Cartuccia nero Minolta Page 1390 MF","Cartuccia nero Minolta Page 1390 MF",1,"91.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
12044,"MU112","Italy","Toner, cartucce","Minolta","Toner fax 1600 F","Toner fax 1600 F",1,"108.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12045,"MU113","Italy","Toner, cartucce","Oki","Toner Oki Page 14ex","Toner Oki Page 14ex",1,"56.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
12046,"MU114","Italy","Toner, cartucce","Ricoh","Toner Ricoh 1220D","Toner Ricoh 1220D",1,"30.90",FALSO,VERO,"SMR","N010",FALSO,VERO
12047,"MU115","Italy","Toner, cartucce","Ricoh","Toner Ricoh 2220D","Toner Ricoh 2220D",1,"23.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
